"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/06/29 5:54:39 pm EEST","Mr Delivery","Mish-Mash","","","","20"
"2023/06/29 5:54:56 pm EEST","Uber","Champ","","","","15"
"2023/06/29 5:56:46 pm EEST","Uber","Champ;Pig n Paradise","","","","20"
"2023/06/29 5:58:05 pm EEST","Mr Delivery","Poppa's","","","","15"
"2023/06/29 5:59:52 pm EEST","Window","Feisty Italian;Spud","","","","5"
"2023/06/29 6:01:32 pm EEST","Window","Spud","","","Ndunja","5"
"2023/06/29 6:28:05 pm EEST","Uber","Champ","Champ","Champ","",""
"2023/06/29 6:34:22 pm EEST","Uber","Margie","Margie","Margie","","20"
"2023/06/29 6:48:10 pm EEST","Uber","Margie;Mish-Mash","","","","22"
"2023/06/29 6:51:14 pm EEST","Phone Call","Margie;Champ;Pig n Paradise","","","","20"
"2023/06/29 6:55:42 pm EEST","Uber","Champ","","","","17"
"2023/06/29 7:05:55 pm EEST","Uber","Champ;Mish-Mash","","","","20"
"2023/06/29 7:15:50 pm EEST","Uber","Mushroom Cloud","","","","16"
"2023/06/29 7:19:51 pm EEST","Uber","Champ;Pig n Paradise;Feisty Italian","","","","19"
"2023/06/29 7:27:40 pm EEST","Uber","Margie;Mushroom Cloud","","","","19"
"2023/06/29 7:33:59 pm EEST","Window","Spud","","","","10"
"2023/06/29 7:38:28 pm EEST","Uber","Mushroom Cloud","","","","15"
"2023/06/29 7:47:33 pm EEST","Uber","Champ","","","","18"
"2023/06/29 7:48:28 pm EEST","Uber","Champ","","","","5"
"2023/06/29 7:52:49 pm EEST","Uber","Champ;Mish-Mash","","","Both crispy and well done","17"
"2023/06/29 7:54:03 pm EEST","Uber","Champ;Mish-Mash","","","","17"
"2023/06/30 2:45:58 pm EEST","Uber","Margie","","","","13"
"2023/06/30 4:18:47 pm EEST","Uber","Champ","","","","10"
"2023/06/30 4:35:29 pm EEST","Uber","Pig n Paradise","","","","14"
"2023/06/30 4:36:11 pm EEST","Uber","Champ","","","","15"
"2023/06/30 4:58:38 pm EEST","Window","Margie;Champ;Spud","Margie","","","10"
"2023/06/30 4:59:41 pm EEST","Uber","Pig n Paradise;Mish-Mash;Poppa's","","","","14"
"2023/06/30 5:00:39 pm EEST","Uber","Margie;Pig n Paradise;Mish-Mash;Mushroom Cloud;Poppa's","","","","15"
"2023/06/30 5:20:20 pm EEST","Uber","Champ","","","","5"
"2023/06/30 5:21:47 pm EEST","Uber","Champ","","","","19"
